"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"2064","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2065","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2066","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2067","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2068","black","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2069","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2070","hispanic","TRUE","TRUE","citation","FALSE","handcuffed"
"2071","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2072","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2073","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2074","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2075","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2076","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2077","hispanic","TRUE","FALSE",NA,"FALSE",NA
"2078","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2079","hispanic","TRUE","FALSE",NA,"FALSE",NA
"2080","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2081","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2082","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2083","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2084","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2085","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2086","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2087","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2088","hispanic","TRUE","FALSE","arrest","TRUE","no curb, no handcuff, no police vehicle"
"2089","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2090","white","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
